bert_score_strategy,,,,,,,,
question_id,precision,recall,f1_score,cosine_similarity,bleu_score,rouge_1_f1,rouge_2_f1,rouge_l_f1
1,0.5,0.192307692,0.277777778,0.193246224,0.087563663,0.252230576,0.166666667,0.252230576
2,1,0.4,0.571428571,1,0.096310983,0.888888889,0.666666667,0.888888889
3,1,0.222222222,0.363636364,0.126659454,0.003047045,0.166666667,0.111111111,0.166666667
4,1,0.4375,0.608695652,0.382490331,0.290785797,0.458906526,0.319088319,0.458906526
5,1,0.272727273,0.428571429,1,0.37999592,0.904761905,0.866666667,0.904761905
6,1,0.333333333,0.5,1,1,1,0,1
7,1,0.36,0.529411765,0.439594674,0.440500452,0.533333333,0.476190476,0.533333333
8,1,0.275862069,0.432432432,0.565224238,0.52042755,0.723785166,0.631746032,0.723785166
9,1,0.388888889,0.56,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
10,1,0.24,0.387096774,0.633960489,0.498598764,0.697478992,0.611111111,0.658263305
1,0.5,0.192307692,0.277777778,0.193246224,0.087563663,0.252230576,0.166666667,0.252230576
2,1,0.2,0.333333333,1,0.455959814,0.777777778,0,0.777777778
3,1,0.222222222,0.363636364,0.333333333,0.073796196,0.333333333,0.333333333,0.333333333
4,0.909090909,0.322580645,0.476190476,0.259971808,0.297717994,0.358974359,0.333333333,0.358974359
5,1,0.363636364,0.533333333,1,0.431468273,0.952380952,0.933333333,0.952380952
6,1,0.333333333,0.5,1,1,1,0,1
7,0.875,0.25,0.388888889,0.238937247,0.247362827,0.31372549,0.311111111,0.31372549
8,1,0.275862069,0.432432432,0.565224238,0.52042755,0.723785166,0.631746032,0.723785166
9,1,0.277777778,0.434782609,0.258838177,0.223440015,0.277777778,0.266666667,0.277777778
10,0.666666667,0.24,0.352941176,0.495160493,0.352740813,0.535714286,0.446428571,0.503968254
1,0.5,0.192307692,0.277777778,0.193246224,0.087563663,0.252230576,0.166666667,0.252230576
2,1,0.2,0.333333333,1,0.455959814,0.777777778,0,0.777777778
3,0,0,0,0,0,0,0,0
4,0.909090909,0.3125,0.465116279,0.259971808,0.271846514,0.345641026,0.31884058,0.345641026
5,1,0.272727273,0.428571429,1,0.37999592,0.904761905,0.866666667,0.904761905
6,1,0.333333333,0.5,1,1,1,0,1
7,0.5,0.08,0.137931034,0.041788979,0.010368221,0.095238095,0,0.095238095
8,1,0.206896552,0.342857143,0.395907195,0.386146953,0.577380952,0.490842491,0.577380952
9,0.2,0.055555556,0.086956522,0,0.010199968,0.182828283,0,0.182828283
10,1,0.32,0.484848485,0.627502221,0.514280727,0.724310777,0.611111111,0.689223058
1,1,0.307692308,0.470588235,0.526579557,0.490788851,0.583333333,0.575757576,0.583333333
2,1,0.2,0.333333333,1,0.455959814,0.777777778,0,0.777777778
3,1,0.222222222,0.363636364,0.333333333,0.073796196,0.333333333,0.333333333,0.333333333
4,0.909090909,0.3125,0.465116279,0.259971808,0.271846514,0.345641026,0.31884058,0.345641026
5,1,0.363636364,0.533333333,1,0.431468273,0.952380952,0.933333333,0.952380952
6,1,0.333333333,0.5,1,0,1,0,1
7,1,0.36,0.529411765,0.439594674,0.343621501,0.533333333,0.476190476,0.533333333
8,1,0.275862069,0.432432432,0.565224238,0.52042755,0.723785166,0.631746032,0.723785166
9,0.2,0.055555556,0.086956522,0,0.010199968,0.182828283,0,0.182828283
10,1,0.32,0.484848485,0.627502221,0.514280727,0.724310777,0.611111111,0.689223058
1,0.4,0.076923077,0.129032258,0,0.015216564,0.155026455,0,0.155026455
2,1,0.2,0.333333333,1,0.455959814,0.777777778,0,0.777777778
3,1,0.222222222,0.363636364,0.126659454,0,0.166666667,0.111111111,0.166666667
4,1,0.0625,0.117647059,0.16089322,0.000497235,0.125,0.095238095,0.125
5,1,0.272727273,0.428571429,1,0.25868259,0.904761905,0.866666667,0.904761905
6,1,0.333333333,0.5,1,0,1,0,1
7,0,0,0,0,0,0,0,0
8,1,0.275862069,0.432432432,0.565224238,0.52042755,0.723785166,0.631746032,0.723785166
9,0.2,0.055555556,0.086956522,0,0.010199968,0.182828283,0,0.182828283
10,1,0.24,0.387096774,0.633960489,0.498598764,0.697478992,0.611111111,0.658263305
1,0.333333333,0.115384615,0.171428571,0,0.013499054,0.143874644,0,0.143874644
2,1,0.4,0.571428571,1,0.096310983,0.888888889,0.666666667,0.888888889
3,1,0.111111111,0.2,0.333333333,0.333333333,0.333333333,0,0.333333333
4,0.8,0.125,0.216216216,0.109290249,0.036847343,0.236044657,0.156862745,0.236044657
5,1,0.272727273,0.428571429,1,0.37999592,0.904761905,0.866666667,0.904761905
6,1,0.333333333,0.5,1,1,1,0,1
7,0.222222222,0.08,0.117647059,0.028193287,0.026453768,0.149707602,0,0.149707602
8,1,0.24137931,0.388888889,0.565224238,0.52210193,0.698752228,0.633333333,0.698752228
9,0.6,0.166666667,0.260869565,0.112032309,0.029972679,0.222222222,0.133333333,0.222222222
10,0.6,0.24,0.342857143,0.194473521,0.037544885,0.291209307,0.066666667,0.200300216
1,0.5,0.133333333,0.210526316,0.763011979,0.057710025,0.448148148,0,0.448148148
2,0.5,0.048780488,0.088888889,0.044595031,0.001300574,0.068421053,0,0.068421053
3,0,0,0,0,0,0,0,0
4,0.222222222,0.060606061,0.095238095,0,0.012808822,0.093795094,0,0.062049062
5,0.272727273,0.115384615,0.162162162,0,0.014337684,0.083636364,0,0.083636364
6,0.333333333,0.103448276,0.157894737,0.056925371,0.022942625,0.177013045,0,0.177013045
7,1,0.272727273,0.428571429,0.36169526,0.111738581,0.496031746,0.166666667,0.496031746
8,0,0,0,0,0,0,0,0
9,0.083333333,0.032258065,0.046511628,0,0.011885351,0.052795031,0,0.052795031
10,0.444444444,0.071428571,0.123076923,0.270918295,0.024904882,0.316931217,0.061868687,0.223809524
1,1,0.2,0.333333333,0.763011979,0.306633677,0.757936508,0.679365079,0.757936508
2,0,0,0,0,0,0.041666667,0,0.041666667
3,1,0.368421053,0.538461538,0.585763696,0.358315549,0.704761905,0.388888889,0.565079365
4,0.875,0.212121212,0.341463415,0.262121691,0.044196611,0.338680927,0.1,0.338680927
5,0,0,0,0,0,0.115740741,0,0.115740741
6,0.6,0.103448276,0.176470588,0.079301032,0.018508693,0.2,0.051282051,0.166666667
7,0.4,0.181818182,0.25,0.048127852,0.040403645,0.133333333,0.083333333,0.133333333
8,0.363636364,0.181818182,0.242424242,0.143701242,0.156415669,0.312447786,0.235294118,0.312447786
9,0.727272727,0.258064516,0.380952381,0.153830638,0.036151179,0.316498316,0.133333333,0.2671156
10,1,0.142857143,0.25,0.530508865,0.305992822,0.588562246,0.505322129,0.570043728
1,0.666666667,0.133333333,0.222222222,0.763011979,0.045918666,0.505291005,0,0.505291005
2,1,0.024390244,0.047619048,0.179546846,5.84E-06,0.080882353,0,0.080882353
3,1,0.263157895,0.416666667,0.603535804,0.356957214,0.725274725,0.388888889,0.578754579
4,0.285714286,0.060606061,0.1,0.027256014,0,0.103508772,0,0.103508772
5,0.571428571,0.153846154,0.242424242,0.260577255,0.07596588,0.311764706,0.211111111,0.311764706
6,0.4,0.068965517,0.117647059,0.08685189,0.022873764,0.151851852,0,0.151851852
7,0.75,0.272727273,0.4,0.326169208,0.06401409,0.317460317,0.095238095,0.317460317
8,0,0,0,0,0,0.121212121,0,0.121212121
9,0.166666667,0.064516129,0.093023256,0.025936315,0.011885351,0.105590062,0,0.076604555
10,0.75,0.053571429,0.1,0.306558767,0,0.338325653,0.155555556,0.248367896
1,0.666666667,0.133333333,0.222222222,0.763011979,0.045918666,0.505291005,0,0.505291005
2,0,0,0,0,0,0,0,0
3,0.25,0.105263158,0.148148148,0,0.030403368,0.178174603,0,0.133730159
4,0.285714286,0.060606061,0.1,0.027256014,0,0.103508772,0,0.103508772
5,0.25,0.038461538,0.066666667,0,0.002144285,0.039215686,0,0.039215686
6,0,0,0,0,0,0,0,0
7,0.375,0.272727273,0.315789474,0.233889129,0.033275615,0.27000777,0.060606061,0.27000777
8,0,0,0,0,0,0,0,0
9,0.090909091,0.032258065,0.047619048,0,0.012204056,0.054994388,0,0.054994388
10,0.75,0.053571429,0.1,0.306558767,0,0.338325653,0.155555556,0.248367896
1,0.666666667,0.133333333,0.222222222,0.763011979,0.045918666,0.505291005,0,0.505291005
2,0,0,0,0,0,0,0,0
3,0.25,0.105263158,0.148148148,0,0.030403368,0.178174603,0,0.133730159
4,1,0.242424242,0.390243902,0.434708581,0.339401569,0.428571429,0.368421053,0.428571429
5,0.571428571,0.153846154,0.242424242,0.260577255,0.07596588,0.311764706,0.211111111,0.311764706
6,0,0,0,0,0,0,0,0
7,0.375,0.272727273,0.315789474,0.233889129,0.033275615,0.27000777,0.060606061,0.27000777
8,0,0,0,0,0,0,0,0
9,0.090909091,0.032258065,0.047619048,0,0.012204056,0.054994388,0,0.054994388
10,0.75,0.053571429,0.1,0.306558767,0,0.338325653,0.155555556,0.248367896
1,0.5,0.133333333,0.210526316,0.763011979,0.057710025,0.448148148,0,0.448148148
2,0.25,0.048780488,0.081632653,0,0.016105325,0.142512077,0,0.142512077
3,0.25,0.052631579,0.086956522,0,0.035064275,0.182828283,0,0.182828283
4,0.363636364,0.121212121,0.181818182,0.054129601,0.030982168,0.196666667,0.028985507,0.141111111
5,0.272727273,0.115384615,0.162162162,0,0.014337684,0.083636364,0,0.083636364
6,0.333333333,0.103448276,0.157894737,0.056925371,0.022942625,0.177013045,0,0.177013045
7,1,0.272727273,0.428571429,0.36169526,0.111738581,0.496031746,0.166666667,0.496031746
8,0,0,0,0,0,0,0,0
