version,question_id,precision,recall,f1_score,cosine_similarity,bleu_score,rouge_1_f1,rouge_2_f1,rouge_l_f1
1,5.5,0.76,0.17391235297269778,0.2778706170794282,0.44867374011422784,0.17595824854001513,0.47333252448981344,0.23158730158730156,0.4694109558623625
2,5.5,0.46337662337662333,0.11420542552244442,0.1803448288844644,0.3167445561778814,0.09203756033173395,0.342992437272623,0.10235294117647058,0.33907086864517205
3,5.5,0.82,0.20608018514052998,0.3225024052785789,0.5064461695162273,0.24111225963595312,0.5292584504157394,0.2863059163059163,0.5253368817882884
4,5.5,0.82,0.20608018514052998,0.3225024052785789,0.5064461695162273,0.24111225963595312,0.5292584504157394,0.2863059163059163,0.5253368817882884
5,5.5,0.6528571428571428,0.17446886638265946,0.2682825415549357,0.40506634864210306,0.09850567395930822,0.4325873444294497,0.13095959595959597,0.41592067776278296
6,5.5,0.6599999999999999,0.16736924952442195,0.26294086932235594,0.3837374475883689,0.11225479579895066,0.4151754015964542,0.17202020202020202,0.40880503122608386
7,5.5,0.2956060606060606,0.06428056555976465,0.09977942531423004,0.12107483408319111,0.013419939450536262,0.10602158843335312,0.01555555555555555,0.10602158843335312
8,5.5,0.5650000000000001,0.1507289328698368,0.2325652039999242,0.2639238902292405,0.09150240144097448,0.3130364018965446,0.20553221288515405,0.2945496294097721
9,5.5,0.3152380952380952,0.05977686199123938,0.08991698665427476,0.12874123152833655,0.015228574648915024,0.10639312107178016,0.01358024691358024,0.10194867662733573
10,5.5,0.4576190476190476,0.09010903494094058,0.13850815474544284,0.19382488360886008,0.021523456244830562,0.19335582211342858,0.0487906505450365,0.17463380339140985
11,5.5,0.2952380952380952,0.055930708145085536,0.08246749170477982,0.12200812844507261,0.014327815534400185,0.11375002342868253,0.01358024691358024,0.10560187528053437
12,5.5,0.2498917748917749,0.060032639774019056,0.08662557294136239,0.13031034998916152,0.015850914156404758,0.10736030895680018,0.01111111111111111,0.10736030895680018
