question_id,precision,recall,f1_score,cosine_similarity,bleu_score,rouge_1_f1,rouge_2_f1,rouge_l_f1
1,0.5,0.19230769230769232,0.2777777777777778,0.19324622384588855,0.08756366314747194,0.25223057644110275,0.16666666666666666,0.25223057644110275
2,1.0,0.2,0.33333333333333337,1.0,0.4559598137238141,0.7777777777777777,0.0,0.7777777777777777
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.9090909090909091,0.3125,0.4651162790697674,0.2599718081859992,0.27184651351273575,0.34564102564102567,0.31884057971014496,0.34564102564102567
5,1.0,0.2727272727272727,0.42857142857142855,1.0000000000000002,0.37999591951561196,0.9047619047619048,0.8666666666666667,0.9047619047619048
6,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,1.0
7,0.5,0.08,0.13793103448275865,0.041788979329105774,0.010368220869930018,0.09523809523809525,0.0,0.09523809523809525
8,1.0,0.20689655172413793,0.34285714285714286,0.3959071951807114,0.3861469533707103,0.5773809523809524,0.4908424908424908,0.5773809523809524
9,0.2,0.05555555555555555,0.08695652173913045,0.0,0.010199968131762712,0.1828282828282828,0.0,0.1828282828282828
10,1.0,0.32,0.48484848484848486,0.6275022206084827,0.5142807271546582,0.7243107769423559,0.611111111111111,0.6892230576441104
1,0.4,0.07692307692307693,0.12903225806451613,0.0,0.015216564374117501,0.15502645502645504,0.0,0.15502645502645504
2,1.0,0.2,0.33333333333333337,1.0,0.4559598137238141,0.7777777777777777,0.0,0.7777777777777777
3,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.07407407407407407
4,0.8,0.12903225806451613,0.2222222222222222,0.10929024906139062,0.03684734297385576,0.23604465709728864,0.1568627450980392,0.23604465709728864
5,1.0,0.2727272727272727,0.42857142857142855,1.0000000000000002,0.37999591951561196,0.9047619047619048,0.8666666666666667,0.9047619047619048
6,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,1.0
7,0.3333333333333333,0.03571428571428571,0.06451612903225806,0.045425447146362145,0.0032704898946118496,0.05128205128205127,0.0,0.05128205128205127
8,0.2222222222222222,0.06896551724137931,0.10526315789473684,0.02465709827821998,0.005852607840081261,0.15297906602254427,0.0,0.12399355877616747
9,0.5555555555555556,0.2777777777777778,0.3703703703703704,0.1457966669865207,0.05296601672280218,0.3063492063492063,0.1507936507936508,0.3063492063492063
10,0.1111111111111111,0.04,0.058823529411764705,0.10305600431036661,0.02402365206216329,0.2006535947712418,0.0,0.2006535947712418
1,1.0,0.3076923076923077,0.47058823529411764,0.5265795571792219,0.4907888509136716,0.5833333333333334,0.5757575757575758,0.5833333333333334
2,1.0,0.4,0.5714285714285715,1.0,0.09631098334849258,0.8888888888888888,0.6666666666666666,0.8888888888888888
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.4375,0.6086956521739131,0.38249033095791546,0.2907857965120032,0.4589065255731923,0.3190883190883191,0.4589065255731923
5,1.0,0.2727272727272727,0.42857142857142855,1.0000000000000002,0.37999591951561196,0.9047619047619048,0.8666666666666667,0.9047619047619048
6,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,1.0
7,0.3,0.12,0.17142857142857143,0.03387688993037552,0.01810976499450786,0.14166666666666666,0.0,0.07500000000000001
8,1.0,0.27586206896551724,0.4324324324324324,0.5652242375747759,0.5204275499150645,0.7237851662404092,0.6317460317460317,0.7237851662404092
9,1.0,0.1111111111111111,0.19999999999999998,0.1932462238458886,0.0060575606642135835,0.14814814814814817,0.09523809523809523,0.14814814814814817
10,1.0,0.24,0.3870967741935484,0.6339604894872777,0.4985987644523456,0.6974789915966387,0.611111111111111,0.6582633053221288
1,1.0,0.3076923076923077,0.47058823529411764,0.5265795571792219,0.4907888509136716,0.5833333333333334,0.5757575757575758,0.5833333333333334
2,1.0,0.4,0.5714285714285715,1.0,0.09631098334849258,0.8888888888888888,0.6666666666666666,0.8888888888888888
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.4375,0.6086956521739131,0.38249033095791546,0.2907857965120032,0.4589065255731923,0.3190883190883191,0.4589065255731923
5,1.0,0.2727272727272727,0.42857142857142855,1.0000000000000002,0.37999591951561196,0.9047619047619048,0.8666666666666667,0.9047619047619048
6,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,1.0
7,0.3,0.12,0.17142857142857143,0.03387688993037552,0.01810976499450786,0.14166666666666666,0.0,0.07500000000000001
8,1.0,0.27586206896551724,0.4324324324324324,0.5652242375747759,0.5204275499150645,0.7237851662404092,0.6317460317460317,0.7237851662404092
9,1.0,0.1111111111111111,0.19999999999999998,0.1932462238458886,0.0060575606642135835,0.14814814814814817,0.09523809523809523,0.14814814814814817
10,1.0,0.24,0.3870967741935484,0.6339604894872777,0.4985987644523456,0.6974789915966387,0.611111111111111,0.6582633053221288
1,1.0,0.3076923076923077,0.47058823529411764,0.5265795571792219,0.4907888509136716,0.5833333333333334,0.5757575757575758,0.5833333333333334
2,1.0,0.4,0.5714285714285715,1.0,0.09631098334849258,0.8888888888888888,0.6666666666666666,0.8888888888888888
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.4375,0.6086956521739131,0.38249033095791546,0.2907857965120032,0.4589065255731923,0.3190883190883191,0.4589065255731923
5,1.0,0.2727272727272727,0.42857142857142855,1.0000000000000002,0.37999591951561196,0.9047619047619048,0.8666666666666667,0.9047619047619048
6,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,1.0
7,0.3,0.12,0.17142857142857143,0.03387688993037552,0.01810976499450786,0.14166666666666666,0.0,0.07500000000000001
8,1.0,0.27586206896551724,0.4324324324324324,0.5652242375747759,0.5204275499150645,0.7237851662404092,0.6317460317460317,0.7237851662404092
9,1.0,0.1111111111111111,0.19999999999999998,0.1932462238458886,0.0060575606642135835,0.14814814814814817,0.09523809523809523,0.14814814814814817
10,1.0,0.24,0.3870967741935484,0.6339604894872777,0.4985987644523456,0.6974789915966387,0.611111111111111,0.6582633053221288
1,0.4,0.07692307692307693,0.12903225806451613,0.0,0.015216564374117501,0.15502645502645504,0.0,0.15502645502645504
2,1.0,0.2,0.33333333333333337,1.0,0.4559598137238141,0.7777777777777777,0.0,0.7777777777777777
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.6666666666666666,0.125,0.21052631578947367,0.21676850936488323,0.172680754010053,0.25555555555555554,0.19999999999999998,0.25555555555555554
5,1.0,0.2727272727272727,0.42857142857142855,1.0000000000000002,0.37999591951561196,0.9047619047619048,0.8666666666666667,0.9047619047619048
6,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,1.0
7,0.14285714285714285,0.04,0.0625,0.0,0.02591893586033595,0.1216931216931217,0.0,0.1216931216931217
8,0.8333333333333334,0.1724137931034483,0.28571428571428575,0.2741380367117458,0.2756303501048989,0.5357142857142857,0.3956043956043956,0.5357142857142857
9,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.07228207105635259,0.025062269761046623,0.11616161616161615,0.0,0.11616161616161615
10,1.0,0.16,0.2758620689655173,0.6339604894872777,0.044975021394579213,0.5777777777777778,0.15,0.41111111111111115
1,0.75,0.2727272727272727,0.39999999999999997,1.0000000000000002,0.11044238341533524,0.6071428571428572,0.1111111111111111,0.6071428571428572
2,0.375,0.07317073170731707,0.12244897959183672,0.0,0.016957356708504023,0.17149758454106281,0.0,0.14251207729468598
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.12121212121212122,0.186046511627907,0.0,0.015313807921051713,0.14888010540184451,0.0,0.08959156785243742
5,0.25,0.11538461538461539,0.15789473684210525,0.0,0.013992230772281712,0.0802675585284281,0.0,0.0802675585284281
6,0.16666666666666666,0.034482758620689655,0.05714285714285715,0.05692537106337217,0.012531134880523312,0.06666666666666667,0.0,0.06666666666666667
7,0.75,0.2727272727272727,0.39999999999999997,0.3616952602242889,0.0961109365507586,0.43121693121693133,0.13333333333333333,0.43121693121693133
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7692307692307693,0.24390243902439024,0.37037037037037035,0.26026712368299737,0.10248272703553007,0.47509578544061304,0.17019400352733685,0.339463601532567
3,1.0,0.3684210526315789,0.5384615384615384,0.5857636959820595,0.3583155487044006,0.7047619047619048,0.3888888888888889,0.5650793650793651
4,0.25,0.06060606060606061,0.0975609756097561,0.0,0.010884938867232729,0.06507936507936508,0.0,0.06507936507936508
5,0.125,0.038461538461538464,0.058823529411764705,0.0,0.0074244680803617,0.03703703703703704,0.0,0.03703703703703704
6,0.09090909090909091,0.034482758620689655,0.05,0.048619524823724926,0.005004634271664866,0.057387057387057384,0.0,0.057387057387057384
7,0.5,0.09090909090909091,0.15384615384615385,0.1370690183558729,0.013655908697383886,0.1904761904761905,0.13333333333333333,0.1904761904761905
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.6666666666666666,0.1935483870967742,0.30000000000000004,0.10137524729183116,0.029633075490649852,0.25333333333333335,0.11111111111111109,0.22666666666666666
10,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0196078431372549
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.25,0.04878048780487805,0.0816326530612245,0.0,0.016957356708504023,0.17149758454106281,0.0,0.14251207729468598
3,1.0,0.2631578947368421,0.4166666666666667,0.6035358039588685,0.3569572144562525,0.7252747252747254,0.3888888888888889,0.5787545787545788
4,0.0,0.0,0.0,0.0,0.0,0.09206349206349207,0.0,0.09206349206349207
5,0.5714285714285714,0.15384615384615385,0.24242424242424246,0.26057725467852805,0.07596587971478476,0.31176470588235294,0.2111111111111111,0.31176470588235294
6,0.14285714285714285,0.034482758620689655,0.05555555555555555,0.05692537106337217,0.010786449496585963,0.06060606060606061,0.0,0.06060606060606061
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.16666666666666666,0.045454545454545456,0.07142857142857144,0.12331153432250609,0.02121475333700462,0.24957264957264957,0.0,0.147008547008547
9,0.3333333333333333,0.06451612903225806,0.1081081081081081,0.031164924991789054,0.009272506509951076,0.10873440285204992,0.0,0.10873440285204992
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.25,0.10526315789473684,0.14814814814814814,0.0,0.03040336751283053,0.17817460317460318,0.0,0.13373015873015873
4,0.0,0.0,0.0,0.0,0.0,0.09206349206349207,0.0,0.09206349206349207
5,0.16666666666666666,0.038461538461538464,0.0625,0.0,0.0039022358011036266,0.03508771929824561,0.0,0.03508771929824561
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3333333333333333,0.06451612903225806,0.1081081081081081,0.031164924991789054,0.009272506509951076,0.10873440285204992,0.0,0.10873440285204992
10,0.75,0.05357142857142857,0.09999999999999999,0.30655876695544554,0.0,0.3383256528417819,0.15555555555555556,0.24836789554531488
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.024390243902439025,0.047619047619047616,0.17954684618866254,5.844409836449743e-06,0.08088235294117647,0.0,0.08088235294117647
3,0.25,0.10526315789473684,0.14814814814814814,0.0,0.03040336751283053,0.17817460317460318,0.0,0.13373015873015873
4,0.0,0.0,0.0,0.0,0.0,0.09206349206349207,0.0,0.09206349206349207
5,0.5714285714285714,0.15384615384615385,0.24242424242424246,0.26057725467852805,0.07596587971478476,0.31176470588235294,0.2111111111111111,0.31176470588235294
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3333333333333333,0.06451612903225806,0.1081081081081081,0.031164924991789054,0.009272506509951076,0.10873440285204992,0.0,0.10873440285204992
10,0.2,0.03571428571428571,0.06060606060606061,0.12637142363051976,0.0118568647961953,0.22375533428165006,0.05555555555555556,0.1553342816500711
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.375,0.07317073170731707,0.12244897959183672,0.0,0.016957356708504023,0.17149758454106281,0.0,0.14251207729468598
3,0.75,0.15789473684210525,0.2608695652173913,0.1472364291229902,0.051941259062260305,0.36060606060606065,0.06666666666666667,0.29393939393939394
4,0.4,0.12121212121212122,0.186046511627907,0.0,0.015313807921051713,0.14888010540184451,0.0,0.08959156785243742
5,0.4,0.07692307692307693,0.12903225806451613,0.09533055218934926,0.02388659693559297,0.16481481481481483,0.0,0.16481481481481483
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
