version,question_id,precision,recall,f1_score,cosine_similarity,bleu_score,rouge_1_f1,rouge_2_f1,rouge_l_f1
1,5.5,0.8442424242424241,0.2314004166331752,0.3579958021882973,0.5275293093325887,0.2057234351334088,0.5694283591652012,0.3089147534288199,0.5549822438769807
2,5.5,0.9109090909090909,0.2722311067995161,0.4167805667294158,0.5645944490215147,0.3090094968758722,0.600339064847747,0.3751948051948052,0.5968302929179224
3,5.5,0.6711111111111111,0.17900315154194463,0.2771715515474482,0.41980225438225005,0.1798507989626403,0.4302758134862052,0.1586243386243386,0.418154601364993
4,5.5,0.77,0.22910786579321057,0.34955474536119696,0.3952520443568618,0.179514373677444,0.4391944886541513,0.2725079365079365,0.43312161416022404
5,5.5,0.7346428571428572,0.21515852155507326,0.32571654793011856,0.4641996691495427,0.12172000687653964,0.5198628841084083,0.28521607047922837,0.5031962174417417
6,5.5,0.8442424242424241,0.2314004166331752,0.3579958021882973,0.5275293093325887,0.2057234351334088,0.5694283591652012,0.3089147534288199,0.5549822438769807
7,5.5,0.4269444444444444,0.11612325830148795,0.17976482817872874,0.20512003597954226,0.046304763161544485,0.2362720425454306,0.05798174048174047,0.2240613225086236
8,5.5,0.5808333333333333,0.14440936730558201,0.22611210752692507,0.2825711137521752,0.13185639564779775,0.3385958902088933,0.2091342871394022,0.3037757843887875
9,5.5,0.6196825396825397,0.1688411723131694,0.26074794120274747,0.32687877040706936,0.10863456065633556,0.3514233702339997,0.14465734449016182,0.32457569163193517
10,5.5,0.4647222222222222,0.08955078004087313,0.14301906625436034,0.22580544729042756,0.053659055075311525,0.2356782671163476,0.06726112667289137,0.21016012317715105
11,5.5,0.5459523809523809,0.16204393729012795,0.24257381541038744,0.31468802100495336,0.10726169728691959,0.3448986039378196,0.1460542264752791,0.30809290273996154
12,5.5,0.40662698412698417,0.11419219369339739,0.17507596317865096,0.19528216948908408,0.046649420609547645,0.24225742413536863,0.06240694789081884,0.24225742413536863
